timestamp,algorithm,total_ms,populate_ms,measureFitness_ms,bestOf_ms,tournament_ms
2025-10-14 19:16:55,ExecutorService 7 Threads,28468,143,10137,424,17774
2025-10-14 19:17:24,ExecutorService 8 Threads,28518,73,9993,434,17977
2025-10-14 19:17:51,ExecutorService 9 Threads,26725,62,9419,430,16776
2025-10-14 19:18:19,ExecutorService 10 Threads,28177,49,9508,421,18145
2025-10-14 19:18:47,ExecutorService 11 Threads,28083,90,9656,450,17879
2025-10-14 19:19:15,ExecutorService 12 Threads,27900,48,9550,429,17829
2025-10-14 19:19:54,ExecutorService 6 Threads,38334,67,12842,399,25001
2025-10-14 19:20:33,ExecutorService 5 Threads,39826,82,13503,430,25810
2025-10-14 19:21:18,ExecutorService 4 Threads,44500,102,15073,468,28877
2025-10-14 19:22:19,ExecutorService 3 Threads,60476,143,20517,486,39323


2025-10-14 19:28:45,ExecutorService 7 Threads,27913,136,9888,428,17461
2025-10-14 19:29:14,ExecutorService 8 Threads,28324,48,9624,438,18174
2025-10-14 19:29:46,ExecutorService 9 Threads,31909,46,10720,487,20578
2025-10-14 19:30:14,ExecutorService 10 Threads,28129,71,9725,433,17878
2025-10-14 19:30:45,ExecutorService 11 Threads,31359,65,10443,468,20349
2025-10-14 19:31:13,ExecutorService 12 Threads,27421,48,9500,426,17407
2025-10-14 19:31:50,ExecutorService 6 Threads,37153,55,12991,408,23670
2025-10-14 19:32:28,ExecutorService 5 Threads,38358,53,13241,420,24617
2025-10-14 19:33:08,ExecutorService 4 Threads,39775,99,14090,431,25162
2025-10-14 19:33:58,ExecutorService 3 Threads,49437,127,17428,400,31489

2025-10-14 19:34:56,ExecutorService 7 Threads,27255,118,9962,450,16735
2025-10-14 19:35:23,ExecutorService 8 Threads,27622,49,9729,435,17368
2025-10-14 19:35:51,ExecutorService 9 Threads,27699,67,9796,453,17373
2025-10-14 19:36:18,ExecutorService 10 Threads,26954,47,9641,421,16798
2025-10-14 19:36:46,ExecutorService 11 Threads,27992,49,9707,432,17759
2025-10-14 19:37:14,ExecutorService 12 Threads,28105,54,9702,443,17855
2025-10-14 19:37:53,ExecutorService 6 Threads,38356,52,13059,411,24783
2025-10-14 19:38:31,ExecutorService 5 Threads,38156,60,13342,417,24321
2025-10-14 19:39:11,ExecutorService 4 Threads,39947,71,13619,409,25820
2025-10-14 19:40:00,ExecutorService 3 Threads,48786,109,17217,405,31047

2025-10-14 19:41:40,ExecutorService 7 Threads,30547,129,10820,461,19084
