timestamp,algorithm,total_ms,populate_ms,measureFitness_ms,bestOf_ms,tournament_ms
2025-10-14 21:21:53,sequential,116754,1103,38859,421,73183
2025-10-14 21:22:19,JavaParallelStream,26043,98,7919,393,17576
2025-10-14 21:22:45,ExecutorService,25699,56,9248,443,15889

2025-10-14 21:24:27,sequential,100614,1083,32469,390,63648
2025-10-14 21:24:55,JavaParallelStream,27804,46,8904,378,18358
2025-10-14 21:25:20,ExecutorService,25337,50,8898,425,15933

2025-10-14 21:27:13,sequential,111849,1038,36253,418,70915
2025-10-14 21:27:41,JavaParallelStream,28384,65,8874,366,18998
2025-10-14 21:28:09,ExecutorService,27166,76,8796,430,17811

2025-10-14 21:30:03,sequential,113294,1046,36237,417,72448
2025-10-14 21:30:31,JavaParallelStream,27730,52,8810,387,18385
2025-10-14 21:30:57,ExecutorService,26683,60,8742,434,17411

2025-10-14 21:32:50,sequential,111781,1067,35875,408,71307
2025-10-14 21:33:18,JavaParallelStream,27135,72,9110,361,17490
2025-10-14 21:33:45,ExecutorService,27600,67,8911,432,18151

2025-10-14 21:35:38,sequential,112136,1041,36221,400,71273
2025-10-14 21:36:06,JavaParallelStream,27180,46,8719,350,17994
2025-10-14 21:36:30,ExecutorService,24331,78,8687,409,15158

2025-10-14 21:38:23,sequential,111711,1024,35846,413,71168
2025-10-14 21:38:50,JavaParallelStream,27046,69,8526,345,18014
2025-10-14 21:39:16,ExecutorService,25609,51,8594,416,16526

2025-10-14 22:27:44,sequential,132827,1355,44828,442,82114
2025-10-14 22:28:14,JavaParallelStream,29208,122,9498,420,19169
2025-10-14 22:28:41,ExecutorService,27426,65,9823,419,17081

2025-10-14 22:30:47,sequential,123966,1301,38531,435,79690
2025-10-14 22:31:16,JavaParallelStream,29787,74,9823,388,19414
2025-10-14 22:31:44,ExecutorService,27472,53,9957,415,16988

2025-10-14 22:33:49,sequential,123743,1302,43063,422,75168
2025-10-14 22:34:18,JavaParallelStream,28464,66,9164,376,18739
2025-10-14 22:34:47,ExecutorService,29102,81,11060,446,17455

2025-10-14 22:37:05,sequential,137407,1303,46540,461,84946
2025-10-14 22:37:33,JavaParallelStream,27870,57,9228,378,18114
2025-10-14 22:38:01,ExecutorService,27049,52,10576,414,15958

2025-10-14 22:40:06,sequential,123852,1227,43599,400,74630
2025-10-14 22:40:32,JavaParallelStream,26299,74,8758,357,17085
2025-10-14 22:40:57,ExecutorService,24926,81,9548,397,14894

2025-10-14 22:42:58,sequential,119678,1160,42754,397,71390
2025-10-14 22:43:25,JavaParallelStream,27001,74,8537,328,17973
2025-10-14 22:43:50,ExecutorService,25442,53,9657,389,15310

2025-10-14 22:47:51,sequential,123046,1295,37983,462,79204
2025-10-14 22:48:20,JavaParallelStream,29293,132,9623,399,19155
2025-10-14 22:48:48,ExecutorService,27457,54,9765,429,17175

2025-10-14 22:50:51,sequential,121869,1294,37871,411,78324
2025-10-14 22:51:20,JavaParallelStream,29057,52,9774,384,18775
2025-10-14 22:51:46,ExecutorService,25390,76,9514,401,15379

2025-10-14 22:53:50,sequential,123250,1243,39479,396,78169
2025-10-14 22:54:20,JavaParallelStream,29501,58,10126,373,18892
2025-10-14 22:54:50,ExecutorService,29985,60,10282,467,19111

2025-10-14 22:57:08,sequential,136561,1315,43169,477,87334
2025-10-14 22:57:36,JavaParallelStream,28638,80,10205,381,17944
2025-10-14 22:58:02,ExecutorService,25176,52,9412,397,15266

2025-10-14 23:00:14,sequential,131194,1295,40653,431,84699
2025-10-14 23:00:45,JavaParallelStream,31198,69,10464,406,20173
2025-10-14 23:01:13,ExecutorService,27357,87,9593,418,17262

2025-10-14 23:03:25,sequential,130640,1268,40205,455,84570
2025-10-14 23:03:58,JavaParallelStream,33479,52,11350,438,21542
2025-10-14 23:04:30,ExecutorService,31063,54,11309,456,19178

2025-10-14 23:06:37,sequential,126577,1311,40333,430,80538
2025-10-14 23:07:06,JavaParallelStream,28546,80,9931,365,18149
2025-10-14 23:07:33,ExecutorService,26946,51,9570,428,16867

