algorithm,count,mean,median,std,min,max,mean_s,median_s
ExecutorService 10 Threads,15,27598.4,27856.0,704.174775383011,26549,28316,27.5984,27.856
ExecutorService 11 Threads,15,28369.466666666667,27981.0,1853.537346599225,26356,33072,28.369466666666668,27.981
ExecutorService 12 Threads,15,28470.533333333333,27551.0,2871.430153043868,26269,38156,28.470533333333332,27.551
ExecutorService 3 Threads,5,51524.0,49437.0,5125.178094466572,47950,60476,51.524,49.437
ExecutorService 4 Threads,5,41100.0,39947.0,2097.4286638644,39515,44500,41.1,39.947
ExecutorService 5 Threads,5,38823.2,38574.0,684.2449853670836,38156,39826,38.8232,38.574
ExecutorService 6 Threads,5,37834.0,37752.0,514.7936479794602,37153,38356,37.834,37.752
ExecutorService 7 Threads,15,28939.266666666666,28414.0,2172.960931430616,26257,34148,28.939266666666665,28.414
ExecutorService 8 Threads,15,28452.8,28282.0,2290.4897854264395,24681,32747,28.4528,28.282
ExecutorService 9 Threads,15,28730.0,28259.0,2070.0938557052355,26725,34226,28.73,28.259
