Descriptive statistics (total_ms):
                            count          mean   median          std    min    max     mean_s  median_s
algorithm                                                                                               
ExecutorService 10 Threads     15  27598.400000  27856.0   704.174775  26549  28316  27.598400    27.856
ExecutorService 11 Threads     15  28369.466667  27981.0  1853.537347  26356  33072  28.369467    27.981
ExecutorService 12 Threads     15  28470.533333  27551.0  2871.430153  26269  38156  28.470533    27.551
ExecutorService 3 Threads       5  51524.000000  49437.0  5125.178094  47950  60476  51.524000    49.437
ExecutorService 4 Threads       5  41100.000000  39947.0  2097.428664  39515  44500  41.100000    39.947
ExecutorService 5 Threads       5  38823.200000  38574.0   684.244985  38156  39826  38.823200    38.574
ExecutorService 6 Threads       5  37834.000000  37752.0   514.793648  37153  38356  37.834000    37.752
ExecutorService 7 Threads      15  28939.266667  28414.0  2172.960931  26257  34148  28.939267    28.414
ExecutorService 8 Threads      15  28452.800000  28282.0  2290.489785  24681  32747  28.452800    28.282
ExecutorService 9 Threads      15  28730.000000  28259.0  2070.093856  26725  34226  28.730000    28.259

Pairwise Mann-Whitney U tests (two-sided) with Bonferroni correction:
pairs, U, raw_p, bonferroni_adj_p
ExecutorService 10 Threads vs ExecutorService 11 Threads, 99.0, 0.5897385933186072, 1.0
ExecutorService 10 Threads vs ExecutorService 12 Threads, 106.0, 0.8034625743147712, 1.0
ExecutorService 10 Threads vs ExecutorService 3 Threads, 0.0, 0.00012899896800825592, 0.005804953560371516
ExecutorService 10 Threads vs ExecutorService 4 Threads, 0.0, 0.00012899896800825592, 0.005804953560371516
ExecutorService 10 Threads vs ExecutorService 5 Threads, 0.0, 0.00012899896800825592, 0.005804953560371516
ExecutorService 10 Threads vs ExecutorService 6 Threads, 0.0, 0.00012899896800825592, 0.005804953560371516
ExecutorService 10 Threads vs ExecutorService 7 Threads, 67.0, 0.06196961991403871, 1.0
ExecutorService 10 Threads vs ExecutorService 8 Threads, 85.0, 0.26275304114766074, 1.0
ExecutorService 10 Threads vs ExecutorService 9 Threads, 69.0, 0.0744956919139866, 1.0
ExecutorService 11 Threads vs ExecutorService 12 Threads, 124.0, 0.6482039260122094, 1.0
ExecutorService 11 Threads vs ExecutorService 3 Threads, 0.0, 0.00012899896800825592, 0.005804953560371516
ExecutorService 11 Threads vs ExecutorService 4 Threads, 0.0, 0.00012899896800825592, 0.005804953560371516
ExecutorService 11 Threads vs ExecutorService 5 Threads, 0.0, 0.00012899896800825592, 0.005804953560371516
ExecutorService 11 Threads vs ExecutorService 6 Threads, 0.0, 0.00012899896800825592, 0.005804953560371516
ExecutorService 11 Threads vs ExecutorService 7 Threads, 93.0, 0.43064798984807773, 1.0
ExecutorService 11 Threads vs ExecutorService 8 Threads, 108.0, 0.8682259903524354, 1.0
ExecutorService 11 Threads vs ExecutorService 9 Threads, 97.0, 0.5338294217441396, 1.0
ExecutorService 12 Threads vs ExecutorService 3 Threads, 0.0, 0.00012899896800825592, 0.005804953560371516
ExecutorService 12 Threads vs ExecutorService 4 Threads, 0.0, 0.00012899896800825592, 0.005804953560371516
ExecutorService 12 Threads vs ExecutorService 5 Threads, 0.5, 0.001436675286371779, 0.06465038788673005
ExecutorService 12 Threads vs ExecutorService 6 Threads, 3.0, 0.0009029927760577915, 0.04063467492260062
ExecutorService 12 Threads vs ExecutorService 7 Threads, 82.0, 0.21337370709311831, 1.0
ExecutorService 12 Threads vs ExecutorService 8 Threads, 98.0, 0.5614474146848649, 1.0
ExecutorService 12 Threads vs ExecutorService 9 Threads, 88.5, 0.3296381262105611, 1.0
ExecutorService 3 Threads vs ExecutorService 4 Threads, 25.0, 0.007936507936507936, 0.3571428571428571
ExecutorService 3 Threads vs ExecutorService 5 Threads, 25.0, 0.007936507936507936, 0.3571428571428571
ExecutorService 3 Threads vs ExecutorService 6 Threads, 25.0, 0.007936507936507936, 0.3571428571428571
ExecutorService 3 Threads vs ExecutorService 7 Threads, 75.0, 0.00012899896800825592, 0.005804953560371516
ExecutorService 3 Threads vs ExecutorService 8 Threads, 75.0, 0.00012899896800825592, 0.005804953560371516
ExecutorService 3 Threads vs ExecutorService 9 Threads, 75.0, 0.00012899896800825592, 0.005804953560371516
ExecutorService 4 Threads vs ExecutorService 5 Threads, 23.0, 0.031746031746031744, 1.0
ExecutorService 4 Threads vs ExecutorService 6 Threads, 25.0, 0.007936507936507936, 0.3571428571428571
ExecutorService 4 Threads vs ExecutorService 7 Threads, 75.0, 0.00012899896800825592, 0.005804953560371516
ExecutorService 4 Threads vs ExecutorService 8 Threads, 75.0, 0.00012899896800825592, 0.005804953560371516
ExecutorService 4 Threads vs ExecutorService 9 Threads, 75.0, 0.00012899896800825592, 0.005804953560371516
ExecutorService 5 Threads vs ExecutorService 6 Threads, 23.0, 0.031746031746031744, 1.0
ExecutorService 5 Threads vs ExecutorService 7 Threads, 75.0, 0.00012899896800825592, 0.005804953560371516
ExecutorService 5 Threads vs ExecutorService 8 Threads, 75.0, 0.00012899896800825592, 0.005804953560371516
ExecutorService 5 Threads vs ExecutorService 9 Threads, 75.0, 0.00012899896800825592, 0.005804953560371516
ExecutorService 6 Threads vs ExecutorService 7 Threads, 75.0, 0.00012899896800825592, 0.005804953560371516
ExecutorService 6 Threads vs ExecutorService 8 Threads, 75.0, 0.00012899896800825592, 0.005804953560371516
ExecutorService 6 Threads vs ExecutorService 9 Threads, 75.0, 0.00012899896800825592, 0.005804953560371516
ExecutorService 7 Threads vs ExecutorService 8 Threads, 127.0, 0.5614474146848649, 1.0
ExecutorService 7 Threads vs ExecutorService 9 Threads, 122.0, 0.7089232340537643, 1.0
